11111,Raju,male,,raju@triz.co.in,Fulpura,123,trizSchool,,,,12345,12345,2010-10-11,2011-09-01,2012-09-01,,student
22222,Parth,male,,parth@triz.co.in,Ahmedabad,123,trizSchool,,,,23456,23456,2010-10-11,2011-09-01,2012-09-01,,student
33333,Bina,female,,bina@triz.co.in,Ahmedabad,123,trizSchool,,,,34567,34567,2010-10-11,2011-09-01,2012-09-01,,student
44444,Iresh,male,,iresh@triz.co.in,Petlad,123,trizSchool,,,,45678,45678,2010-10-11,2011-09-01,2012-09-01,,student
55555,Jitesh,male,,jitesh@triz.co.in,Rajkot,123,trizSchool,,,,56789,56789,2010-10-11,2011-09-01,2012-09-01,,student
66666,Sunny,male,,sumnny@triz.co.in,Ahmedabad,123,trizSchool,,,,67891,67891,2010-10-11,2011-09-01,2012-09-01,,student
77777,Komal,female,,komal@triz.co.in,Ahmedabad,123,trizSchool,,,,78912,78912,2010-10-11,2011-09-01,2012-09-01,,student
88888,Ashvin,male,,ashvin@triz.co.in,Ahmedabad,123,trizSchool,,,,89123,89123,2010-10-11,2011-09-01,2012-09-01,,student
99999,Aslam,male,,aslam@triz.co.in,Ahmedabad,123,trizSchool,,,,91234,91234,2010-10-11,2011-09-01,2012-09-01,,student
10101,Sidhdharth,male,,sidhdharth@triz.co.in,Ahmedabad,,,,,,10293,10293,2010-10-11,2011-09-01,2012-09-01,,student
